0 Sweep,,5 Sweep,,10 Sweep,,15 Sweep,,20 Sweep,,25 Sweep,,30 Sweep,,35 Sweep,,40 Sweep,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.6853429729996935,0.1771653562930287,0.6876204754567165,0.17729699857945969,0.6924291445066005,0.17767181342277008,0.703867477215131,0.1756883298392733,0.7168830971701478,0.17556919357005324,0.8421183584787992,0.08771625102827488,0.8636068131514313,0.08831046968230355,0.8026544236766195,0.17799177731340093,0.8772481039096415,0.13077424888173753
0.6861313392348168,0.1759147545719345,0.6885511855954036,0.1758160228571113,0.6934328515189103,0.17602628484238297,0.7045486256422776,0.17420972367808063,0.7179780502744857,0.17392366498966613,0.8404759288222924,0.0887218518274003,0.8613712838967413,0.08963603437205983,0.8033387693668307,0.17680334000534356,0.8761531508053035,0.13237406833489165
0.687116797028721,0.17440086827797835,0.6893724004236571,0.1746641528508403,0.6945278046232483,0.17447217451646183,0.7056838730208551,0.17273111751688802,0.7189817572867955,0.1726895185543758,0.8387422530737574,0.08927036135419605,0.8592270007340795,0.0907787625528842,0.8039774920110279,0.17547777531558728,0.8753775590230641,0.13374534215188094
0.6877737688913237,0.1733477299865306,0.6903031105623444,0.17312832617581236,0.6954402655435299,0.17310090069947257,0.7068191203994327,0.1709112945492663,0.7200310873451193,0.1710439899739887,0.837464807785363,0.0902302530260885,0.8574933249855445,0.09196719986094157,0.8048443298852954,0.17415221062583103,0.874191359826698,0.1356194163684329
0.688562135126447,0.1721629494086519,0.6911790730458147,0.17159249950078437,0.6965352186478678,0.17145537211908546,0.7080678925158681,0.16920521051712095,0.7212629095874995,0.16935275226636862,0.8358223781288562,0.09114443557074803,0.856124633605122,0.0926528367694362,0.8057111677595629,0.17300948244500663,0.8735070141364869,0.13703639931265513
0.6893505013615704,0.17078070540112672,0.6921645308397189,0.170111523778436,0.6976301717522058,0.16985555266593133,0.7094301893701611,0.16738538754949922,0.7228140931519783,0.1677072236859815,0.8341343254263351,0.0921043272426405,0.8539347273964462,0.09402411058642546,0.8065780056338304,0.17150108124631844,0.8726857993082333,0.13840767312964436
0.6900074732241731,0.1696617459664635,0.6930952409784061,0.16868539900876717,0.6986795018105296,0.16816431495831125,0.710451912010881,0.1659067813883066,0.7240915384403726,0.16592456772389547,0.8328112570919268,0.0926528367694362,0.8524291668779815,0.09507542051278389,0.8072623513240417,0.16999268004763027,0.8718189614339659,0.13973323781940067
0.6907301422730362,0.16860860767501573,0.6939164558066595,0.16720442328641877,0.6999113240529098,0.166747332014089,0.7115871593894585,0.1645419141625903,0.7251864915447105,0.16450758477967325,0.8314881887575185,0.09370414669579463,0.8506498680834325,0.09608102131190935,0.8081291891983091,0.16852998797617505,0.8707240083296279,0.14156160290871966
0.6914528113218992,0.16742382709713705,0.6949019136005637,0.1658331494694295,0.7009606541112336,0.16533034906986677,0.7126088820301784,0.1629495690659213,0.7260989524649921,0.16331914747161588,0.8296176438709412,0.0945269109859882,0.8489161923348973,0.09731516774719967,0.809178519256633,0.16688445939578794,0.8699027935013744,0.14357280450697057
0.6923068747432828,0.1662390465192583,0.6958326237392509,0.1643521737470811,0.7021012302615857,0.1639590752528775,0.7136715997151246,0.1618027014665347,0.7268745442472314,0.16240496492695639,0.8279295911684202,0.0954410935306477,0.8468175322182496,0.09850360505525702,0.810273472360971,0.16528463994263382,0.8687165943050084,0.1454011695962896
0.6930952409784061,0.16512008708459508,0.696818081533155,0.163090601835451,0.7031961833659236,0.16235925579972338,0.7146176391972726,0.16038096477308023,0.7276045129834567,0.1614450732550639,0.826104669327857,0.09658382171147206,0.84481011819363,0.09992058799947925,0.8111403102352385,0.16377623874394565,0.8678953794767549,0.1470466981766767
0.6938179100272691,0.16400112764993185,0.6978582869822761,0.16155477516042302,0.7042911364702615,0.16098798198273412,0.7157213519264451,0.1589592280796258,0.7285169739037384,0.16043947245593843,0.824370993579322,0.0976351316378305,0.8432589346291512,0.10083477054413875,0.8121896402935623,0.16245067405418934,0.8669372955104592,0.14864651762983083
0.6946062762623925,0.16275052592883765,0.6990627353970479,0.15996409753271548,0.7053860895745995,0.15929674427511403,0.7168250646556178,0.1576954621298885,0.7293381887319919,0.15947958078404595,0.8229566791528854,0.09859502330972297,0.8413427666965599,0.10202320785219612,0.8130564781678299,0.16107940023720008,0.8660248345901775,0.15052059184638283
0.6953946424975158,0.1616315664941744,0.7001576885013858,0.15859282371572622,0.7068004040010359,0.15783405220365881,0.7179287773847904,0.15643169618015118,0.7306612570664002,0.1581083069670567,0.8213598725423925,0.09950920585438247,0.8397003370400531,0.10330306341471943,0.8138776929960834,0.15984525380190978,0.8648842584398255,0.15253179344463375
0.6962487059188994,0.1603151436298647,0.7014168845713744,0.15694729513533912,0.7082603414734865,0.1558228506054079,0.7190324901139631,0.1551679302304139,0.7315737179866818,0.1570112879134653,0.8199911811619701,0.10024055189011008,0.8380579073835461,0.10435437334107786,0.8148357769623791,0.15847397998492052,0.8638805514275159,0.15436015853395274
0.6972998608990638,0.15899872076555502,0.7025665853309293,0.15541146846031118,0.7095834098078949,0.15417732202502082,0.7202938760901605,0.15374619353695942,0.7323949328149352,0.15605139624157283,0.8181206362753929,0.1014746983254004,0.8359136242208843,0.10567993803083413,0.815930730066717,0.15719412442239722,0.8626943522311497,0.1564170692594366
0.6982196215067077,0.15774811904446082,0.703771033745701,0.1540401946433219,0.7110433472803455,0.15262321169909965,0.7215552620663578,0.15240344221536356,0.733444262873259,0.1549543771879814,0.8168431909869986,0.10238888087005993,0.8343624406564056,0.10691408446612448,0.8169800601250409,0.15559430496924306,0.8617362682648539,0.15833685260322158
