Super Critical,,Conventional,
X,Y,X,Y
0.00341012006804077,0.5276287189532376,-0.0018934526261699947,0.5553154827873571
0.003851363473268754,0.5240629993685405,-0.001158046950790033,0.5533927908544322
0.004396428856197426,0.5202875315729787,-0.0003793821180347809,0.5506835431307652
0.004915538744700923,0.5166169378828493,0.00044254187209576135,0.5483238757585391
0.005408693138779258,0.5126317218764229,0.0013293545982892424,0.545964208386313
0.0058239810495820665,0.5089611281862936,0.0021512785884197916,0.5435171459262267
0.006369046432510739,0.5046612898635705,0.0028217955277368145,0.5415944539933017
0.006914111815439411,0.5004663256462796,0.0035355716244291208,0.5391473915332154
0.007303444231817044,0.49669085785071787,0.004292606878496724,0.53704990942457
0.00777064313147019,0.49281051594972386,0.0051577900260025705,0.534340661700903
0.00821188653669816,0.48893017404872985,0.005871566122694891,0.5325053648558382
0.00867908543635132,0.4846303357260068,0.006498823904636616,0.5300583023957519
0.009016506863878587,0.4812743643521741,0.007320747894767166,0.5276112399356656
0.009276061808130343,0.47707940013488326,0.007991264834084175,0.5257759430906008
0.009795171696633853,0.471940568968702,0.008553633879962969,0.5237658560698157
0.010106637629735946,0.4671163601188176,0.009137632504529411,0.5223675346640521
0.010444059057263227,0.4622921512689331,0.009894667758597014,0.5196582869403852
0.010625747518239456,0.4576776906299132,0.010521925540538754,0.5178229900953204
0.010807435979215671,0.45096574788224786,0.011127553743792831,0.5155507178109545
0.011015079934617075,0.44540742029433755,0.011841329840485151,0.5135406307901693
0.01122272389001848,0.43942959628469813,0.012468587622426877,0.5117927290329648
0.011248679384443655,0.43607362491086543,0.0131391045617439,0.5096078518364592
0.011378456856569519,0.43250790532616823,0.013744732764997991,0.5071607893763728
0.011378456856569519,0.42967630447949695,0.014501768019065595,0.5050633072677275
0.011404412350994708,0.4253764661567738,0.015302062430508495,0.5026162448076411
0.01150823432869541,0.42044738320145714,0.01595094979113787,0.5002565774354151
0.01166396729524645,0.4155183002461404,0.01677287378126842,0.49798430515104913
0.011793744767372327,0.40975022444736553,0.017313613248459564,0.4956246377788231
0.011767789272947152,0.40471626738661653,0.017984130187776587,0.4935271556701777
0.012027344217198907,0.40125542190735164,0.018589758391030664,0.4916044637372527
0.011975433228348556,0.39852869516611256,0.019238645751660052,0.4895943767164675
,,0.019887533112289427,0.48723470934424146
